"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"112","5","Monarch Phenotype","","Low anterior hairline","1.63E-5","STAG2|NIPBL|RAD21|SMC1A|SMC3","580","669|729|765|777|759","2.8E-8","","HP:0000294","0.47878123955960417","0"
"38","4","Monarch Phenotype","","Truncal obesity","1.69E-5","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","3.18E-8","","HP:0001956","0.4772113295386326","0"
"42","4","Monarch Phenotype","","Atresia of the external auditory canal","2.06E-5","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","4.62E-8","","HP:0000413","0.46861327796308466","0"
"43","4","Monarch Phenotype","","Blepharitis","2.06E-5","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","5.05E-8","","HP:0000498","0.46861327796308466","0"
"122","5","Monarch Phenotype","","Synophrys","2.06E-5","NIPBL|RAD21|SMC1A|SMC3|STAG1","580","729|765|777|759|747","4.23E-8","","HP:0000664","0.46861327796308466","0"
"7672","16","GO Cellular Component","","Nucleus","2.07E-5","STAG2|ESPL1|MAU2|CDCA5|NIPBL|RAD21|WAPL|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|CDC20|STAG1|CDK1","580","669|735|717|723|729|765|753|711|771|741|705|777|759|672|747|699","2.83E-7","","GO:0005634","0.46840296545430826","0"
"132","5","Monarch Phenotype","","Facial hypertrichosis","2.29E-5","NIPBL|RAD21|SMC1A|SMC3|STAG1","580","729|765|777|759|747","6.19E-8","","HP:0002219","0.46401645176601114","0"
"45","4","Monarch Phenotype","","Abnormal labia majora morphology","2.29E-5","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","5.99E-8","","HP:0012881","0.46401645176601114","0"
"46","4","Monarch Phenotype","","Obsolete Abnormality of the ulna","2.34E-5","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","6.51E-8","","HP:0002997","0.46307841425898577","0"
"47","4","Monarch Phenotype","","Labial hypoplasia","2.46E-5","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","7.06E-8","","HP:0000066","0.46090648928966205","0"
"137","5","Monarch Phenotype","","Single transverse palmar crease","2.51E-5","NIPBL|RAD21|SMC1A|SMC3|STAG1","580","729|765|777|759|747","7.4E-8","","HP:0000954","0.46003262785189614","0"
"292","6","Monarch Phenotype","","Clinodactyly of the 5th finger","2.64E-5","STAG2|NIPBL|RAD21|SMC1A|SMC3|STAG1","580","669|729|765|777|759|747","8.0E-8","","HP:0004209","0.4578396073130169","0"
"293","6","Monarch Phenotype","","Deviation of the 5th finger","2.64E-5","STAG2|NIPBL|RAD21|SMC1A|SMC3|STAG1","580","669|729|765|777|759|747","8.16E-8","","HP:0009179","0.4578396073130169","0"
"50","4","Monarch Phenotype","","Radioulnar synostosis","2.72E-5","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","8.93E-8","","HP:0002974","0.45654310959658007","0"
"11","3","WikiPathways","","SMC1/SMC3 role in DNA damage - Cornelia de Lange Syndrome","3.1E-5","RAD21|SMC1A|SMC3","580","765|777|759","1.59E-7","","WP5118","0.4508638306165727","0"
"584","8","GO Molecular Function","","Chromatin binding","3.24E-5","STAG2|CDCA5|NIPBL|RAD21|SMC1A|SMC3|STAG1|CDK1","580","669|723|729|765|777|759|747|699","6.56E-9","","GO:0003682","0.4489454989793388","0"
"150","5","Monarch Phenotype","","Abnormality of the frontal hairline","3.41E-5","STAG2|NIPBL|RAD21|SMC1A|SMC3","580","669|729|765|777|759","1.15E-7","","HP:0000599","0.44672456210075023","0"
"55","4","Monarch Phenotype","","Bilateral single transverse palmar creases","3.72E-5","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","1.28E-7","","HP:0007598","0.44294570601181027","0"
"4","3","GO Molecular Function","","Mediator complex binding","3.78E-5","NIPBL|SMC1A|SMC3","580","729|777|759","1.53E-8","","GO:0036033","0.44225082001627747","0"
"167","5","GO Biological Process","","Negative regulation of mitotic cell cycle phase transition","4.26E-5","RAD21|PLK1|AURKB|CDC20|CDK1","580","765|711|705|672|699","1.93E-7","","GO:1901991","0.43705904008972807","0"
"331","6","Monarch Phenotype","","Gastroesophageal reflux","4.59E-5","STAG2|NIPBL|RAD21|SMC1A|SMC3|STAG1","580","669|729|765|777|759|747","1.65E-7","","HP:0002020","0.4338187314462739","0"
"63","4","GO Biological Process","","Negative regulation of G2/M transition of mitotic cell cycle","4.68E-5","RAD21|PLK1|AURKB|CDK1","580","765|711|705|699","2.15E-7","","GO:0010972","0.4329754146925876","0"
"64","4","Monarch Phenotype","","Abnormality of the auditory canal","6.19E-5","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","2.28E-7","","HP:0000372","0.42083093509798825","0"
"174","5","Monarch Phenotype","","Abnormality of the palmar creases","6.23E-5","NIPBL|RAD21|SMC1A|SMC3|STAG1","580","729|765|777|759|747","2.35E-7","","HP:0010490","0.4205511953340831","0"
"5325","14","COMPARTMENTS","","Protein-containing complex","7.25E-5","STAG2|ESPL1|MAU2|NIPBL|RAD21|WAPL|PLK1|PDS5A|AURKB|SMC1A|SMC3|CDC20|STAG1|CDK1","580","669|735|717|729|765|753|711|771|705|777|759|672|747|699","7.56E-7","","GOCC:0032991","0.4139661993429006","0"
"87","4","Reactome Pathways","","APC/C-mediated degradation of cell cycle proteins","7.69E-5","PLK1|AURKB|CDC20|CDK1","580","711|705|672|699","7.41E-7","","HSA-174143","0.4114073660198569","0"
"1067","9","TISSUES","","Leukemia cell","8.15E-5","STAG2|ESPL1|NIPBL|RAD21|PLK1|AURKB|SMC1A|SMC3|CDK1","580","669|735|729|765|711|705|777|759|699","3.36E-8","","BTO:0001271","0.4088842391260023","0"
"73","4","Monarch Phenotype","","Elbow dislocation","9.22E-5","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","3.78E-7","","HP:0003042","0.4035269078946371","0"
"665","7","Monarch Phenotype","","Oral cleft","1.1E-4","STAG2|MAU2|NIPBL|RAD21|SMC1A|SMC3|STAG1","580","669|717|729|765|777|759|747","4.53E-7","","HP:0000202","0.3958607314841775","0"
"206","5","Monarch Phenotype","","Toe syndactyly","1.1E-4","NIPBL|RAD21|SMC1A|SMC3|STAG1","580","729|765|777|759|747","5.31E-7","","HP:0001770","0.3958607314841775","0"
"78","4","Monarch Phenotype","","Generalized hirsutism","1.1E-4","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","4.87E-7","","HP:0002230","0.3958607314841775","0"
"1504","9","GO Biological Process","","Reproductive process","1.3E-4","STAG2|ESPL1|NIPBL|RAD21|PLK1|SMC1A|SMC3|STAG1|CDK1","580","669|735|729|765|711|777|759|747|699","6.29E-7","","GO:0022414","0.3886056647693163","0"
"83","4","Monarch Phenotype","","Low posterior hairline","1.3E-4","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","6.18E-7","","HP:0002162","0.3886056647693163","0"
"215","5","Monarch Phenotype","","Hip dislocation","1.3E-4","STAG2|NIPBL|RAD21|SMC1A|SMC3","580","669|729|765|777|759","6.53E-7","","HP:0002827","0.3886056647693163","0"
"83","4","Monarch Phenotype","","Abnormality of the posterior hairline","1.3E-4","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","6.18E-7","","HP:0030141","0.3886056647693163","0"
"87","4","Monarch Phenotype","","Widely spaced teeth","1.4E-4","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","7.41E-7","","HP:0000687","0.38538719643217617","0"
"87","4","Monarch Phenotype","","Obsessive-compulsive behavior","1.4E-4","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","7.41E-7","","HP:0000722","0.38538719643217617","0"
"96","4","Monarch Phenotype","","Micromelia","1.9E-4","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","1.08E-6","","HP:0002983","0.3721246399047171","0"
"101","4","Monarch Phenotype","","Choanal atresia","2.1E-4","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","1.32E-6","","HP:0000453","0.3677780705266081","0"
"100","4","Monarch Phenotype","","Primary amenorrhea","2.1E-4","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","1.27E-6","","HP:0000786","0.3677780705266081","0"
"100","4","Monarch Phenotype","","Pyloric stenosis","2.1E-4","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","1.27E-6","","HP:0002021","0.3677780705266081","0"
"249","5","Monarch Phenotype","","Abnormality of the elbow","2.1E-4","NIPBL|RAD21|SMC1A|SMC3|STAG1","580","729|765|777|759|747","1.33E-6","","HP:0009811","0.3677780705266081","0"
"105","4","Monarch Phenotype","","Short foot","2.4E-4","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","1.53E-6","","HP:0001773","0.3619788758288394","0"
"2","2","GO Cellular Component","","Scc2-Scc4 cohesin loading complex","2.5E-4","MAU2|NIPBL","580","717|729","3.7E-6","","GO:0090694","0.3602059991327963","0"
"107","4","Monarch Phenotype","","Multicystic kidney dysplasia","2.5E-4","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","1.64E-6","","HP:0000003","0.3602059991327963","0"
"251","5","GO Biological Process","","Positive regulation of cell cycle process","2.6E-4","ESPL1|CDCA5|RAD21|AURKB|CDK1","580","735|723|765|705|699","1.38E-6","","GO:0090068","0.35850266520291824","0"
"269","5","Monarch Phenotype","","Thin upper lip vermilion","2.9E-4","STAG2|NIPBL|RAD21|SMC1A|SMC3","580","669|729|765|777|759","1.93E-6","","HP:0000219","0.3537602002101044","0"
"112","4","Monarch Phenotype","","Thick eyebrow","2.9E-4","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","1.96E-6","","HP:0000574","0.3537602002101044","0"
"274","5","Monarch Phenotype","","Anxiety","3.0E-4","STAG2|NIPBL|RAD21|SMC1A|SMC3","580","669|729|765|777|759","2.11E-6","","HP:0000739","0.35228787452803373","0"
"114","4","Monarch Phenotype","","Intestinal malrotation","3.0E-4","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","2.1E-6","","HP:0002566","0.35228787452803373","0"
"116","4","Monarch Phenotype","","Downturned corners of mouth","3.1E-4","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","2.25E-6","","HP:0002714","0.3508638306165727","0"
"116","4","Monarch Phenotype","","Small hand","3.1E-4","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","2.25E-6","","HP:0200055","0.3508638306165727","0"
"1850","9","COMPARTMENTS","","Nuclear lumen","3.2E-4","STAG2|MAU2|RAD21|PLK1|AURKB|SMC1A|SMC3|STAG1|CDK1","580","669|717|765|711|705|777|759|747|699","3.58E-6","","GOCC:0031981","0.34948500216800943","0"
"2","2","COMPARTMENTS","","Scc2-Scc4 cohesin loading complex","3.2E-4","MAU2|NIPBL","580","717|729","3.7E-6","","GOCC:0090694","0.34948500216800943","0"
"40","3","GO Cellular Component","","Synaptonemal complex","3.4E-4","WAPL|PLK1|SMC3","580","753|711|759","5.31E-6","","GO:0000795","0.34685210829577445","0"
"284","5","Monarch Phenotype","","Attention deficit hyperactivity disorder","3.4E-4","STAG2|NIPBL|RAD21|SMC1A|SMC3","580","669|729|765|777|759","2.5E-6","","HP:0007018","0.34685210829577445","0"
"286","5","Monarch Phenotype","","Tooth malposition","3.5E-4","NIPBL|RAD21|SMC1A|SMC3|STAG1","580","729|765|777|759|747","2.59E-6","","HP:0000692","0.3455931955649724","0"
"142","4","COMPARTMENTS","","Midbody","3.8E-4","RAD21|PLK1|AURKB|CDK1","580","765|711|705|699","4.9E-6","","GOCC:0030496","0.342021640338319","0"
"125","4","Monarch Phenotype","","Vesicoureteral reflux","3.9E-4","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","3.0E-6","","HP:0000076","0.3408935392973501","0"
"126","4","Monarch Phenotype","","Microcornea","3.9E-4","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","3.09E-6","","HP:0000482","0.3408935392973501","0"
"132","4","Monarch Phenotype","","Autism","4.4E-4","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","3.7E-6","","HP:0000717","0.33565473235138127","0"
"135","4","Monarch Phenotype","","Premature birth","4.7E-4","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","4.03E-6","","HP:0001622","0.33279021420642824","0"
"31","3","GO Biological Process","","Mitotic spindle assembly checkpoint signaling","4.8E-4","PLK1|AURKB|CDC20","580","711|705|672","2.58E-6","","GO:0007094","0.3318758762624413","0"
"1405","8","Reactome Pathways","","Post-translational protein modification","4.8E-4","STAG2|RAD21|AURKB|SMC1A|SMC3|CDC20|STAG1|CDK1","580","669|765|705|777|759|672|747|699","5.22E-6","","HSA-597592","0.3318758762624413","0"
