"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"547","5","Monarch Phenotype","","Abnormal cardiac ventricle morphology","0.0036","STAG2|NIPBL|RAD21|SMC1A|SMC3","580","669|729|765|777|759","5.71E-5","","HP:0001713","0.24436974992327126","0"
"2540","9","Reactome Pathways","","Signal Transduction","0.0037","STAG2|RAD21|PLK1|AURKB|SMC1A|SMC3|CDC20|STAG1|CDK1","580","669|765|711|705|777|759|672|747|699","4.83E-5","","HSA-162582","0.2431798275933005","0"
"949","6","Monarch Phenotype","","Failure to thrive","0.0041","STAG2|NIPBL|RAD21|SMC1A|SMC3|STAG1","580","669|729|765|777|759|747","6.7E-5","","HP:0001508","0.23872161432802647","0"
"280","4","Monarch Phenotype","","Delayed skeletal maturation","0.0041","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","6.69E-5","","HP:0002750","0.23872161432802647","0"
"281","4","Monarch Phenotype","","Short finger","0.0041","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","6.79E-5","","HP:0009381","0.23872161432802647","0"
"947","6","Monarch Phenotype","","Feeding difficulties","0.0041","STAG2|NIPBL|RAD21|SMC1A|SMC3|STAG1","580","669|729|765|777|759|747","6.62E-5","","HP:0011968","0.23872161432802647","0"
"3362","10","UniProt Keywords","","Acetylation","0.0043","STAG2|NIPBL|WAPL|PLK1|PDS5A|PDS5B|SMC1A|SMC3|CDC20|CDK1","580","669|729|753|711|771|741|777|759|672|699","6.2E-5","","KW-0007","0.23665315444204132","0"
"92","3","UniProt Keywords","","Meiosis","0.0043","STAG2|SMC1A|SMC3","580","669|777|759","5.8E-5","","KW-0469","0.23665315444204132","0"
"94","3","Reactome Pathways","","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal","0.0043","PLK1|AURKB|CDC20","580","711|705|672","6.17E-5","","HSA-141444","0.23665315444204132","0"
"272","4","Reactome Pathways","","Cell Cycle Checkpoints","0.0043","PLK1|AURKB|CDC20|CDK1","580","711|705|672|699","5.99E-5","","HSA-69620","0.23665315444204132","0"
"285","4","Monarch Phenotype","","Renal insufficiency","0.0043","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","7.16E-5","","HP:0000083","0.23665315444204132","0"
"13","2","COMPARTMENTS","","Condensed chromosome outer kinetochore","0.0044","PLK1|AURKB","580","711|705","6.44E-5","","GOCC:0000940","0.23565473235138126","0"
